"Date" "x" "y" "Species" "Type" "dist_obs"
"2014-07-24" 664.720287374778 4636.15865646965 "Stenella coeruleoalba" "FERRY" 0.05
"2014-07-24" 684.239195099762 4644.67004999778 "Stenella coeruleoalba" "FERRY" 0.1
"2014-08-27" 660.001624293234 4634.86245681546 "Stenella coeruleoalba" "FERRY" 0.03
"2014-09-10" 688.836821822597 4646.81306836829 "Stenella coeruleoalba" "FERRY" 1
"2015-07-15" 668.231819904138 4637.87383133218 "Stenella coeruleoalba" "FERRY" 0.8
"2015-07-15" 676.563342622871 4641.43090029417 "Stenella coeruleoalba" "FERRY" 1
"2015-07-15" 680.904142880897 4643.22883129462 "Stenella coeruleoalba" "FERRY" 0.6
"2015-07-15" 684.490958849923 4644.68769422405 "Stenella coeruleoalba" "FERRY" 0.6
"2015-08-19" 665.268487151492 4636.22690044724 "Stenella coeruleoalba" "FERRY" 0.01
"2015-08-19" 678.971392600756 4642.14661679618 "Stenella coeruleoalba" "FERRY" 0.01
"2015-08-19" 707.306479730552 4654.55209792555 "Stenella coeruleoalba" "FERRY" 0.1
"2013-04-28" 665.68933313716 4636.41442678597 "Stenella coeruleoalba" "FERRY" 0.1
"2013-04-28" 680.891021676376 4642.96183824141 "Stenella coeruleoalba" "FERRY" 0.25
"2013-05-10" 690.148895687361 4646.29250048873 "Stenella coeruleoalba" "FERRY" 0.08
"2014-06-20" 663.312968761626 4635.92628857907 "Stenella coeruleoalba" "FERRY" 0.15
"2014-06-28" 663.350539056141 4634.64959601602 "Stenella coeruleoalba" "FERRY" 0.3
"2015-05-10" 664.992726635337 4635.79835414671 "Stenella coeruleoalba" "FERRY" 0.5
"2015-05-10" 701.994429650733 4652.8316914657 "Stenella coeruleoalba" "FERRY" 0.2
"2015-05-10" 704.479205154348 4653.99204658508 "Stenella coeruleoalba" "FERRY" 0.1
"2017-09-06" 664.719611722991 4635.9364550618 "Stenella coeruleoalba" "FERRY" 0.5
"2017-09-06" 692.755395987925 4648.79629463759 "Tursiops truncatus" "FERRY" 0.7
"2017-05-26" 668.345899094239 4637.96540477297 "Stenella coeruleoalba" "FERRY" 0.2
"2017-05-26" 670.795922491284 4638.97920463204 "Stenella coeruleoalba" "FERRY" 0.7
"2016-06-24" 656.701617451457 4633.73381044081 "Stenella coeruleoalba" "FERRY" 0.4
"2016-05-11" 671.210004702031 4639.36688953959 "Stenella coeruleoalba" "FERRY" 0.06
"2016-05-18" 683.015933842303 4644.36065905579 "Stenella coeruleoalba" "FERRY" 0.5
"2016-02-25" 694.594355629226 4649.6576774723 "Stenella coeruleoalba" "FERRY" 0.02
"2015-11-11" 663.912340242809 4635.68454183436 "Stenella coeruleoalba" "FERRY" 0.5
"2015-11-11" 668.223703125574 4637.58478975098 "Stenella coeruleoalba" "FERRY" 0.8
"2015-11-20" 665.120367591681 4636.16791888608 "Stenella coeruleoalba" "FERRY" 0.5
"2015-12-18" 683.961139452204 4644.96284489452 "Stenella coeruleoalba" "FERRY" 0.1
"2011-07-14" 839.146814428876 4487.24846622126 "Stenella coeruleoalba" "FERRY" 0.03
"2011-07-14" 793.126421374157 4540.9061739804 "Stenella coeruleoalba" "FERRY" 0.03
"2011-07-14" 779.651971159289 4562.62056685528 "Stenella coeruleoalba" "FERRY" 0.01
"2011-07-14" 757.358615318544 4598.8550889358 "Stenella coeruleoalba" "FERRY" 0
"2011-07-21" 846.042583819718 4491.2703184847 "Stenella coeruleoalba" "FERRY" 0.02
"2011-07-22" 864.343436862145 4464.31377604273 "Stenella coeruleoalba" "FERRY" 0
"2011-07-28" 843.93768442417 4481.12459719459 "Stenella coeruleoalba" "FERRY" 0.045
"2011-07-28" 802.074474677622 4528.28866158404 "Stenella coeruleoalba" "FERRY" 0.02
